grieks,nederlands,streak,score_goed,score_fout,laatst_geoefend
πλανάω,(act.) misleiden; (med./pas.) (af)dwalen,0,0,0,
πράσσω,"doen, uitvoeren, bezig zijn met",0,0,0,
ἐπιθυμία,"verlangen, begeerte",5,3,5,2026-08-12
εὐχαριστέω,"(be)danken, dankbaar zijn (aan/jegens)",0,0,0,
μνημεῖον,"graf(tombe), monument, gedenksteen",0,0,0,
πέντε,vijf,1,6,1,2026-08-12
ὑποτάσσω,onderwerpen,0,0,0,
ἄρχων,"heerser, leider, ambtelijke autoriteit",0,0,0,
βούλομαι,"willen, verlangen, bedoelen, besluiten",22,2,2,2026-08-12
διάβολος,"lasterlijk; (subst.) aanklager, tegenstander, Duivel",0,0,0,
διακονέω,"dienen, opdienen, (een) dienst verlenen/uitvoeren",0,0,0,
ἐμαυτοῦ,mijzelf [komt alleen in gen./dat./acc. sg. voor],17,8,5,2026-08-12
μαρτυρία,"getuigenis, verklaring, goedkeuring",0,0,0,
παραγίνομαι,"(aan)komen, aanwezig zijn, (publiekelijk) verschijnen",0,0,0,
πρόβατον,schaap,0,11,4,2026-08-12
καλῶς,"goed, juist, op een goede manier",0,0,0,
ἀγρός,veld; (pl.) platteland,0,0,0,
ἐπιστρέφω,"terugkeren, omkeren, bekeren",1,1,3,2026-08-12
καυχάομαι,"opscheppen, (be)roemen",0,0,0,
ὀργή,"boosheid, woede, toorn",0,0,0,
οὖς,oor,17,17,3,2026-08-12
περιτομή,besnijdenis,0,0,0,
προσευχή,"gebed, plaats van gebed",0,0,0,
ὥσπερ,(zo)als,9,15,0,2026-08-12
ἅπτω,"(act.) aansteken; (med.) aanraken, vasthouden (+gen.)",0,0,0,
ἄρτι,(juist) nu,0,0,0,
μάρτυς,getuige,5,2,3,2026-08-12
ὀπίσω,"(+gen.) achter, naar achter, na",0,0,0,
ὀφείλω,"verschuldigd zijn, verplicht zijn, je plicht doen",0,0,0,
ὑποστρέφω,terugkeren,0,5,4,2026-08-12
οἶνος,"wijn, wijngaard",0,0,0,
ἄρα,"dan, natuurlijk",0,0,0,
βιβλίον,"document, boekrol",17,4,3,2026-08-12
βλασφημέω,"kwaadspreken (over), smaden, (God) lasteren",0,0,0,
διακονία,"dienst, bediening, bijstand, uitvoering",0,0,0,
μέλος,"ledemaat, lid",2,16,5,2026-08-12
μετανοέω,"tot inkeer komen (over), berouw hebben (van)",0,0,0,
μήτε,"noch, en/ook niet",0,0,0,
ναί,"ja, inderdaad",31,15,4,2026-08-12
πτωχός,"arm, armoedig, behoeftig",0,0,0,
ἀρνέομαι,"weigeren, ontkennen, verwerpen, negeren",0,0,0,
ἀσθενέω,"zwak zijn, ziek zijn, beperkt zijn",1,7,3,2026-08-12
δείκνυμι,"tonen, aantonen, uiteenzetten, uitleggen",0,0,0,
διαθήκη,"verbond, testament",0,0,0,
ποῖος,"hoedanig, wat voor (soort/type)",9,17,5,2026-08-12
ἀναγινώσκω,lezen,0,0,0,
ἅπας,"geheel, iedereen, allen, alles",0,0,0,
δυνατός,"competent, machtig, mogelijk",2,16,4,2026-08-12
ἐχθρός,(adj.) vijandig; (subst.) vijand,0,0,0,
ἥλιος,zon,0,0,0,
ὑπομονή,"volharding, uithoudingsvermogen",9,9,5,2026-08-12
φαίνω,"(act.) tonen, schijnen, lijken; (med./pas.) verschijnen",0,0,0,
ἔξεστι(ν),"het is toegestaan, het is geoorloofd [3e sg. van ἔξειμι]",0,0,0,
ποτήριον,beker,22,19,1,2026-08-12
ἱερεύς,priester,0,0,0,
ἀκάθαρτος,onrein,0,0,0,
καθαρίζω,"reinigen, zuiveren, schoonmaken",9,4,4,2026-08-12
ἄνεμος,wind,0,0,0,
ἐλπίζω,"hopen (op), verwachten",0,0,0,
ὁμοίως,"op dezelfde manier, evenzo",9,18,3,2026-08-12
παραγγέλλω,"bevelen, instrueren",0,0,0,
παρρησία,"open(hartig)heid, (het) zeggen waar het op staat",0,0,0,
πλῆθος,"menigte, vergadering, bevolking, (grote) hoeveelheid",5,13,4,2026-08-12
πλήν,"anderzijds, echter, behalve (+gen.)",0,0,0,
ποτέ,"wanneer, ooit, voorheen, eindelijk",0,0,0,
συνείδησις,"(moreel) bewustzijn, zelfinzicht",1,16,0,2026-08-12
φυλάσσω,"bewaken, bewaren, in acht nemen, zich hoeden voor",0,0,0,
φυλή,"volk, stam",0,0,0,
διάκονος,"dienaar, hulp, uitvoerder",0,0,5,2026-08-14
ἀγοράζω,kopen,0,0,0,
ἀρνίον,"lam, schaap",0,0,0,
διδαχή,"onderwijs, onderricht",0,16,3,2026-08-12
ἐγγύς,"dichtbij, nabij (+gen.)",0,0,0,
ἐπικαλέω,"(act.) noemen, een naam geven; (med.) aanroepen, een beroep doen op",0,0,0,
